Symbol	ID	Name	Synonyms	Chromosome	Category
AZGP1	563	"alpha-2-glycoprotein 1, zinc-binding"	ZA2G|ZAG	7	Antigen_Processing_and_Presentation
B2M	567	beta-2-microglobulin	-	15	Antigen_Processing_and_Presentation
CALR	811	calreticulin	CRT|FLJ26680|RO|SSA|cC1qR	19	Antigen_Processing_and_Presentation
CANX	821	calnexin	CNX|FLJ26570|IP90|P90	5	Antigen_Processing_and_Presentation
CD1A	909	CD1a molecule	CD1|FCB6|HTA1|R4|T6	1	Antigen_Processing_and_Presentation
CD1B	910	CD1b molecule	CD1|CD1A|MGC125990|MGC125991|R1	1	Antigen_Processing_and_Presentation
CD1C	911	CD1c molecule	BDCA1|CD1|CD1A|R7	1	Antigen_Processing_and_Presentation
CD1D	912	CD1d molecule	CD1A|MGC34622|R3	1	Antigen_Processing_and_Presentation
CD1E	913	CD1e molecule	CD1A|R2	1	Antigen_Processing_and_Presentation
CD4	920	CD4 molecule	CD4mut	12	Antigen_Processing_and_Presentation
CD8A	925	CD8a molecule	CD8|Leu2|MAL|p32	2	Antigen_Processing_and_Presentation
CD8B	926	CD8b molecule	CD8B1|LYT3|Leu2|Ly3|MGC119115	2	Antigen_Processing_and_Presentation
CD74	972	"CD74 molecule, major histocompatibility complex, class II invariant chain"	DHLAG|HLADG|Ia-GAMMA	5	Antigen_Processing_and_Presentation
CREB1	1385	cAMP responsive element binding protein 1	CREB|MGC9284	2	Antigen_Processing_and_Presentation
CTSB	1508	cathepsin B	APPS|CPSB	8	Antigen_Processing_and_Presentation
CTSE	1510	cathepsin E	CATE	1	Antigen_Processing_and_Presentation
CTSL1	1514	cathepsin L1	CATL|CTSL|FLJ31037|MEP	9	Antigen_Processing_and_Presentation
CTSS	1520	cathepsin S	MGC3886	1	Antigen_Processing_and_Presentation
FCER1G	2207	"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"	FCRG	1	Antigen_Processing_and_Presentation
FCGRT	2217	"Fc fragment of IgG, receptor, transporter, alpha"	FCRN|alpha-chain	19	Antigen_Processing_and_Presentation
PDIA3	2923	"protein disulfide isomerase family A, member 3"	ER60|ERp57|ERp60|ERp61|GRP57|GRP58|HsT17083|P58|PI-PLC	15	Antigen_Processing_and_Presentation
HFE	3077	hemochromatosis	HFE1|HH|HLA-H|MGC103790|MVCD7|dJ221C16.10.1	6	Antigen_Processing_and_Presentation
HLA-A	3105	"major histocompatibility complex, class I, A"	FLJ26655|HLAA	6	Antigen_Processing_and_Presentation
HLA-B	3106	"major histocompatibility complex, class I, B"	AS|HLA-B-7301|HLA-B73|HLAB|HLAC|MGC111087|SPDA1	6	Antigen_Processing_and_Presentation
HLA-C	3107	"major histocompatibility complex, class I, C"	D6S204|FLJ27082|HLA-Cw|HLA-Cw12|HLA-JY3|HLC-C|PSORS1	6	Antigen_Processing_and_Presentation
HLA-DMA	3108	"major histocompatibility complex, class II, DM alpha"	D6S222E|DMA|HLADM|RING6	6	Antigen_Processing_and_Presentation
HLA-DMB	3109	"major histocompatibility complex, class II, DM beta"	D6S221E|RING7	6	Antigen_Processing_and_Presentation
HLA-DOA	3111	"major histocompatibility complex, class II, DO alpha"	HLA-DNA|HLA-DZA|HLADZ	6	Antigen_Processing_and_Presentation
HLA-DOB	3112	"major histocompatibility complex, class II, DO beta"	DOB	6	Antigen_Processing_and_Presentation
HLA-DPA1	3113	"major histocompatibility complex, class II, DP alpha 1"	HLA-DP1A|HLADP|HLASB	6	Antigen_Processing_and_Presentation
HLA-DPB1	3115	"major histocompatibility complex, class II, DP beta 1"	DPB1|HLA-DP1B	6	Antigen_Processing_and_Presentation
HLA-DQA1	3117	"major histocompatibility complex, class II, DQ alpha 1"	CD|CELIAC1|DQ-A1|FLJ27088|FLJ27328|GSE|HLA-DQA|MGC149527	6	Antigen_Processing_and_Presentation
HLA-DQA2	3118	"major histocompatibility complex, class II, DQ alpha 2"	HLA-DXA	6	Antigen_Processing_and_Presentation
HLA-DQB1	3119	"major histocompatibility complex, class II, DQ beta 1"	CELIAC1|HLA-DQB|IDDM1	6	Antigen_Processing_and_Presentation
HLA-DRA	3122	"major histocompatibility complex, class II, DR alpha"	HLA-DRA1	6	Antigen_Processing_and_Presentation
HLA-DRB1	3123	"major histocompatibility complex, class II, DR beta 1"	DRB1|FLJ75017|FLJ76359|HLA-DR1B|HLA-DRB|HLA-DRB1*|SS1	6	Antigen_Processing_and_Presentation
HLA-DRB3	3125	"major histocompatibility complex, class II, DR beta 3"	HLA-DR3B|HLA-DR52|MGC117330	6	Antigen_Processing_and_Presentation
HLA-DRB4	3126	"major histocompatibility complex, class II, DR beta 4"	DRB4|HLA-DR4B	6	Antigen_Processing_and_Presentation
HLA-DRB5	3127	"major histocompatibility complex, class II, DR beta 5"	FLJ76359|HLA-DRB	6	Antigen_Processing_and_Presentation
HLA-E	3133	"major histocompatibility complex, class I, E"	DKFZp686P19218|EA1.2|EA2.1|HLA-6.2|MHC|QA1	6	Antigen_Processing_and_Presentation
HLA-F	3134	"major histocompatibility complex, class I, F"	CDA12|HLA-5.4|HLA-CDA12|HLAF	6	Antigen_Processing_and_Presentation
HLA-G	3135	"major histocompatibility complex, class I, G"	MHC-G	6	Antigen_Processing_and_Presentation
HLA-H	3136	"major histocompatibility complex, class I, H (pseudogene)"	HLAHP	6	Antigen_Processing_and_Presentation
MR1	3140	"major histocompatibility complex, class I-related"	HLALS	1	Antigen_Processing_and_Presentation
HSPA1A	3303	heat shock 70kDa protein 1A	FLJ54303|FLJ54370|FLJ54392|FLJ54408|FLJ75127|HSP70-1|HSP70-1A|HSP70I|HSP72|HSPA1|HSPA1B	6	Antigen_Processing_and_Presentation
HSPA1B	3304	heat shock 70kDa protein 1B	FLJ54328|HSP70-1B|HSP70-2|HSPA1A	6	Antigen_Processing_and_Presentation
HSPA1L	3305	heat shock 70kDa protein 1-like	HSP70-1L|HSP70-HOM|HSP70T|hum70t	6	Antigen_Processing_and_Presentation
HSPA2	3306	heat shock 70kDa protein 2	HSP70-2|HSP70-3	14	Antigen_Processing_and_Presentation
HSPA4	3308	heat shock 70kDa protein 4	APG-2|HS24/P52|MGC131852|RY|hsp70|hsp70RY	5	Antigen_Processing_and_Presentation
HSPA5	3309	"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)"	BIP|FLJ26106|GRP78|MIF2	9	Antigen_Processing_and_Presentation
HSPA6	3310	heat shock 70kDa protein 6 (HSP70B')	-	1	Antigen_Processing_and_Presentation
HSPA8	3312	heat shock 70kDa protein 8	HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP1|MGC131511|MGC29929|NIP71	11	Antigen_Processing_and_Presentation
HSP90AA1	3320	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	FLJ31884|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP2	14	Antigen_Processing_and_Presentation
HSP90AB1	3326	"heat shock protein 90kDa alpha (cytosolic), class B member 1"	D6S182|FLJ26984|HSP90-BETA|HSP90B|HSPC2|HSPCB	6	Antigen_Processing_and_Presentation
ICAM1	3383	intercellular adhesion molecule 1	BB2|CD54|P3.58	19	Antigen_Processing_and_Presentation
IFNA1	3439	"interferon, alpha 1"	IFL|IFN|IFN-ALPHA|IFNA13|IFNA@|MGC138207|MGC138505|MGC138507	9	Antigen_Processing_and_Presentation
IFNA2	3440	"interferon, alpha 2"	IFNA|INFA2|MGC125764|MGC125765	9	Antigen_Processing_and_Presentation
IFNA4	3441	"interferon, alpha 4"	INFA4|MGC142200	9	Antigen_Processing_and_Presentation
IFNA5	3442	"interferon, alpha 5"	INFA5	9	Antigen_Processing_and_Presentation
IFNA6	3443	"interferon, alpha 6"	-	9	Antigen_Processing_and_Presentation
IFNA7	3444	"interferon, alpha 7"	IFNA-J	9	Antigen_Processing_and_Presentation
IFNA8	3445	"interferon, alpha 8"	-	9	Antigen_Processing_and_Presentation
IFNA10	3446	"interferon, alpha 10"	MGC119878|MGC119879	9	Antigen_Processing_and_Presentation
IFNA13	3447	"interferon, alpha 13"	-	9	Antigen_Processing_and_Presentation
IFNA14	3448	"interferon, alpha 14"	LEIF2H|MGC125756|MGC125757	9	Antigen_Processing_and_Presentation
IFNA16	3449	"interferon, alpha 16"	-	9	Antigen_Processing_and_Presentation
IFNA17	3451	"interferon, alpha 17"	IFNA|INFA|LEIF2C1	9	Antigen_Processing_and_Presentation
IFNA21	3452	"interferon, alpha 21"	MGC126687|MGC126689	9	Antigen_Processing_and_Presentation
IFNG	3458	"interferon, gamma"	IFG|IFI	12	Antigen_Processing_and_Presentation
KIR2DL1	3802	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	CD158A|KIR-K64|KIR221|NKAT|NKAT1|p58.1	19	Antigen_Processing_and_Presentation
KIR2DL2	3803	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2"	CD158B1|CD158b|NKAT6|p58.2	19	Antigen_Processing_and_Presentation
KIR2DL3	3804	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"	CD158B2|CD158b|GL183|KIR-023GB|KIR-K7b|KIR-K7c|KIRCL23|MGC129943|NKAT|NKAT2|NKAT2A|NKAT2B|p58	19	Antigen_Processing_and_Presentation
KIR2DL4	3805	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"	CD158D|G9P|KIR103|KIR103AS	19	Antigen_Processing_and_Presentation
KIR2DS1	3806	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1"	CD158H|CD158a|p50.1	19	Antigen_Processing_and_Presentation
KIR2DS3	3808	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3"	NKAT7	19	Antigen_Processing_and_Presentation
