ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
GBE1	1,4-alpha-glucan branching enzyme 1(GBE1)	Homo sapiens			Carbohydrate transport and metabolism,	GO:0005977~glycogen metabolic process,GO:0005978~glycogen biosynthetic process,GO:0006091~generation of precursor metabolites and energy,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003844~1,4-alpha-glucan branching enzyme activity,GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0030246~carbohydrate binding,GO:0043169~cation binding,	IPR004193:Glycoside hydrolase, family 13, N-terminal,IPR006047:Glycosyl hydrolase, family 13, catalytic domain,IPR006048:Alpha-amylase, C-terminal all beta,IPR006407:1,4-alpha-glucan-branching enzyme,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013781:Glycoside hydrolase, catalytic domain,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR015902:Glycoside hydrolase, family 13,IPR017853:Glycoside hydrolase, superfamily,	hsa00500:Starch and sucrose metabolism,hsa01100:Metabolic pathways,	232500~Glycogen storage disease IV,263570~Polyglucosan body disease, adult form,	PIRSF000463:1,4-alpha-glucan branching enzyme,	SM00642:Aamy,	3D-structure,Acetylation,Complete proteome,Disease mutation,Glycogen biosynthesis,Glycogen storage disease,Glycosyltransferase,Neuropathy,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,	chain:1,4-alpha-glucan-branching enzyme,modified residue,sequence conflict,sequence variant,
HACL1	2-hydroxyacyl-CoA lyase 1(HACL1)	Homo sapiens				GO:0001561~fatty acid alpha-oxidation,GO:0051259~protein oligomerization,	GO:0005777~peroxisome,GO:0005782~peroxisomal matrix,	GO:0000287~magnesium ion binding,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0016829~lyase activity,GO:0016830~carbon-carbon lyase activity,GO:0030976~thiamine pyrophosphate binding,GO:0042802~identical protein binding,GO:0048037~cofactor binding,	IPR011766:Thiamine pyrophosphate enzyme, C-terminal TPP-binding,IPR012000:Thiamine pyrophosphate enzyme, central domain,IPR012001:Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain,	hsa04146:Peroxisome,				Alternative splicing,Complete proteome,Lyase,Magnesium,Metal-binding,Peroxisome,Phosphoprotein,Proteomics identification,Reference proteome,Thiamine pyrophosphate,	binding site:Thiamine pyrophosphate,chain:2-hydroxyacyl-CoA lyase 1,metal ion-binding site:Magnesium,modified residue,region of interest:Thiamine pyrophosphate binding,sequence conflict,short sequence motif:Microbody targeting signal,
DHCR24	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens				GO:0006695~cholesterol biosynthetic process,GO:0006915~apoptotic process,GO:0006979~response to oxidative stress,GO:0007050~cell cycle arrest,GO:0007265~Ras protein signal transduction,GO:0008104~protein localization,GO:0008285~negative regulation of cell proliferation,GO:0009725~response to hormone,GO:0009888~tissue development,GO:0030539~male genitalia development,GO:0031639~plasminogen activation,GO:0033489~cholesterol biosynthetic process via desmosterol,GO:0033490~cholesterol biosynthetic process via lathosterol,GO:0042987~amyloid precursor protein catabolic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043588~skin development,GO:0055114~oxidation-reduction process,GO:0061024~membrane organization,GO:1901214~regulation of neuron death,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0000246~delta24(24-1) sterol reductase activity,GO:0016614~oxidoreductase activity, acting on CH-OH group of donors,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0019899~enzyme binding,GO:0042605~peptide antigen binding,GO:0050614~delta24-sterol reductase activity,GO:0050660~flavin adenine dinucleotide binding,	IPR006094:FAD linked oxidase, N-terminal,IPR016166:FAD-binding, type 2,IPR016169:CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,	602398~Desmosterolosis,			Alternative splicing,Cholesterol biosynthesis,Cholesterol metabolism,Complete proteome,Disease mutation,Endoplasmic reticulum,FAD,Flavoprotein,Golgi apparatus,Lipid biosynthesis,Lipid metabolism,Membrane,NADP,Oxidoreductase,Proteomics identification,Reference proteome,Signal,Steroid biosynthesis,Steroid metabolism,Sterol biosynthesis,Sterol metabolism,Transmembrane,Transmembrane helix,	chain:24-dehydrocholesterol reductase,domain:FAD-binding PCMH-type,modified residue,nucleotide phosphate-binding region:FAD,sequence variant,signal peptide,site:Cleavage; by caspase,transmembrane region,
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens				GO:0006139~nucleobase-containing compound metabolic process,GO:0007399~nervous system development,GO:0016311~dephosphorylation,GO:0046854~phosphatidylinositol phosphorylation,GO:0050427~3'-phosphoadenosine 5'-phosphosulfate metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0000287~magnesium ion binding,GO:0008441~3'(2'),5'-bisphosphate nucleotidase activity,	IPR000760:Inositol monophosphatase,IPR020550:Inositol monophosphatase, conserved site,IPR020583:Inositol monophosphatase, metal-binding site,	hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,				3D-structure,Acetylation,Alternative splicing,Complete proteome,Hydrolase,Lithium,Magnesium,Metal-binding,Phosphoprotein,Proteomics identification,Reference proteome,	binding site:Substrate,chain:3'(2'),5'-bisphosphate nucleotidase 1,helix,metal ion-binding site:Magnesium 1,metal ion-binding site:Magnesium 1; via carbonyl oxygen,metal ion-binding site:Magnesium 2,modified residue,region of interest:Substrate binding,sequence conflict,splice variant,strand,turn,
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens				GO:0006695~cholesterol biosynthetic process,GO:0008299~isoprenoid biosynthetic process,GO:0046951~ketone body biosynthetic process,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,	GO:0004421~hydroxymethylglutaryl-CoA synthase activity,	IPR000590:Hydroxymethylglutaryl-coenzyme A synthase, active site,IPR010122:Hydroxymethylglutaryl-CoA synthase, eukaryotic,IPR013528:Hydroxymethylglutaryl-coenzyme A synthase, N-terminal,IPR013746:Hydroxymethylglutaryl-coenzyme A synthase C-terminal,IPR016039:Thiolase-like,	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,	605911~HMG-CoA synthase-2 deficiency,			3D-structure,Acetylation,Alternative splicing,Cholesterol biosynthesis,Cholesterol metabolism,Complete proteome,Disease mutation,Lipid biosynthesis,Lipid metabolism,Mitochondrion,Phosphoprotein,Reference proteome,Steroid biosynthesis,Steroid metabolism,Sterol biosynthesis,Sterol metabolism,Transferase,Transit peptide,	chain:Hydroxymethylglutaryl-CoA synthase, mitochondrial,helix,modified residue,sequence variant,strand,transit peptide:Mitochondrion,turn,
HIBCH	3-hydroxyisobutyryl-CoA hydrolase(HIBCH)	Homo sapiens			Lipid metabolism,	GO:0006574~valine catabolic process,GO:0006635~fatty acid beta-oxidation,GO:0009083~branched-chain amino acid catabolic process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0070062~extracellular exosome,	GO:0003860~3-hydroxyisobutyryl-CoA hydrolase activity,	IPR014748:Crontonase, C-terminal,	hsa00280:Valine, leucine and isoleucine degradation,hsa00410:beta-Alanine metabolism,hsa00640:Propanoate metabolism,hsa01100:Metabolic pathways,hsa01200:Carbon metabolism,	250620~3-hydroxyisobutryl-CoA hydrolase deficiency,			3D-structure,Acetylation,Alternative splicing,Branched-chain amino acid catabolism,Complete proteome,Disease mutation,Hydrolase,Mitochondrion,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,	binding site:Substrate,binding site:Substrate; via amide nitrogen,chain:3-hydroxyisobutyryl-CoA hydrolase, mitochondrial,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,transit peptide:Mitochondrion,turn,
HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase(HMGCL)	Homo sapiens				GO:0001889~liver development,GO:0006552~leucine catabolic process,GO:0006629~lipid metabolic process,GO:0006637~acyl-CoA metabolic process,GO:0007005~mitochondrion organization,GO:0007584~response to nutrient,GO:0042594~response to starvation,GO:0046951~ketone body biosynthetic process,GO:0051262~protein tetramerization,GO:0070542~response to fatty acid,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0005777~peroxisome,	GO:0000062~fatty-acyl-CoA binding,GO:0000287~magnesium ion binding,GO:0004419~hydroxymethylglutaryl-CoA lyase activity,GO:0005102~receptor binding,GO:0016829~lyase activity,GO:0030145~manganese ion binding,GO:0031406~carboxylic acid binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	IPR000138:Hydroxymethylglutaryl-CoA lyase, active site,IPR000891:Pyruvate carboxyltransferase,IPR013785:Aldolase-type TIM barrel,	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04146:Peroxisome,	246450~HMG-CoA lyase deficiency,			3D-structure,Acetylation,Alternative splicing,Complete proteome,Disease mutation,Disulfide bond,Lyase,Metal-binding,Mitochondrion,Peroxisome,Proteomics identification,Reference proteome,Transit peptide,	binding site:Substrate,chain:Hydroxymethylglutaryl-CoA lyase, mitochondrial,helix,metal ion-binding site:Divalent metal cation,modified residue,mutagenesis site,sequence conflict,sequence variant,strand,transit peptide:Mitochondrion,turn,
OXCT2	3-oxoacid CoA-transferase 2(OXCT2)	Homo sapiens			Lipid metabolism,	GO:0008152~metabolic process,GO:0046952~ketone body catabolic process,	GO:0005739~mitochondrion,GO:0031514~motile cilium,	GO:0008260~3-oxoacid CoA-transferase activity,GO:0008410~CoA-transferase activity,	IPR004163:Coenzyme A transferase binding site,IPR004164:Coenzyme A transferase active site,IPR004165:Coenzyme A transferase family I,IPR012791:3-oxoacid CoA-transferase, subunit B,IPR012792:3-oxoacid CoA-transferase, subunit A,IPR014388:3-oxoacid CoA-transferase,	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,		PIRSF000858:3-oxoacid CoA-transferase,	SM00882:SM00882,	Complete proteome,Mitochondrion,Polymorphism,Reference proteome,Transferase,Transit peptide,	chain:Succinyl-CoA:3-ketoacid-coenzyme A transferase 2, mitochondrial,region of interest:CoA-binding,sequence conflict,sequence variant,transit peptide:Mitochondrion,
HPDL	4-hydroxyphenylpyruvate dioxygenase like(HPDL)	Homo sapiens				GO:0009072~aromatic amino acid family metabolic process,GO:0055114~oxidation-reduction process,		GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,	IPR005956:4-hydroxyphenylpyruvate dioxygenase,			PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,		Complete proteome,Dioxygenase,Iron,Metal-binding,Oxidoreductase,Reference proteome,	chain:4-hydroxyphenylpyruvate dioxygenase-like protein,
NT5DC2	5'-nucleotidase domain containing 2(NT5DC2)	Homo sapiens				GO:0016311~dephosphorylation,		GO:0008253~5'-nucleotidase activity,GO:0046872~metal ion binding,	IPR008380:HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase,IPR016695:Purine 5'-nucleotidase,IPR023214:HAD-like domain,			PIRSF017434:cytosolic purine 5'-nucleotidase,		Alternative splicing,Complete proteome,Hydrolase,Magnesium,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,	active site:Nucleophile,active site:Proton donor,chain:5'-nucleotidase domain-containing protein 2,metal ion-binding site:Magnesium,metal ion-binding site:Magnesium; via carbonyl oxygen,sequence conflict,sequence variant,splice variant,
